Hour,Temperature,load
4,14.6,1081.7
5,13.6,1102.354
6,13,1133.207
7,12.2,1180.752
8,11.6,1177.843
9,17.1,1094.85
10,19.3,1041.258
11,21.7,977.709
12,24.3,888.978
13,27,848.606
14,29.7,846.191
15,31.6,915.652
16,32.6,1074.253
17,32.3,1230.569
18,29.9,1337.378
19,27.5,1335.678
20,26.5,1281.378
21,26.1,1235.515
22,25.5,1210.203
23,25.2,1125.776
24,20,1051.669
1,25.4,1022.127
2,24.9,1015.307
3,24.7,1015.941
4,25,1026.807
5,24.8,1062.481
6,25.2,1125.5
7,25.7,1223.9
8,26.5,1308.758
9,30.1,1381.48
10,32.4,1429.507
11,34,1438.555
12,35.3,1430.135
13,36.6,1426.336
14,38.3,1415.439
15,39.4,1390.091
16,39.6,1387.817
17,38.7,1428.33
18,35.9,1498.737
19,32.4,1476.939
20,30.9,1405.616
21,30.6,1332.038
22,29.2,1256.225
23,28.8,1183.448
24,25.2,1113.456
1,27.9,1075.274
2,27.3,1059.629
3,26.1,1048.198
4,24.3,1046.801
5,22.7,1093.547
6,21.6,1174.695
7,19.4,1284.836
8,18.8,1277.851
9,28.3,1189.824
10,32.6,1116.632
11,35.6,1078.635
12,37.5,946.94
13,39.1,879.17
14,40.5,879.759
15,41.1,903.906
16,42.2,1039.752
17,40.3,1240.286
18,37.9,1392.184
19,36.9,1420.779
20,36.9,1387.798
21,37.3,1338.719
22,37.7,1274.252
23,38,1202.262
24,28.3,1160.375
1,38.2,1126.07
2,38.2,1115.59
3,37.8,1119.072
4,37.2,1132.701
5,37.1,1164.277
6,37,1241.186
7,36.9,1343.026
8,36.9,1380.23
9,38.1,1370.323
10,39.1,1361.822
11,41.6,1374.026
12,45.7,1396.682
13,48.8,1433.589
14,50.9,1437.228
15,52.5,1399.103
16,52.3,1386.865
17,48.9,1424.353
18,46.5,1460.497
19,44.2,1461.739
20,42.8,1417.915
21,42.4,1358.427
22,40.7,1293.419
23,38.3,1217.147
24,38.3,1149.042
1,36.9,1099.713
2,36.1,1071.915
3,35.7,1051.025
4,35.2,1063.763
5,35.5,1097.948
6,36.1,1180.511
7,36.3,1304.67
8,36.4,1316.384
9,39.9,1293.652
10,43.3,1134.821
11,45.9,1057.455
12,48.1,946.93
13,49.6,887.916
14,50,847.3
15,49,872.416
16,48,985.016
17,46.7,1172.125
18,44,1320.01
19,40.3,1350.13
20,38.5,1311.584
21,39.4,1298.241
22,37.7,1235.597
23,35.6,1200.154
24,37.2,1157.33
1,32.4,1070.168
2,31.3,1057.965
3,32,1051.209
4,32.6,1050.05
5,33.3,1092.09
6,33.9,1180.486
7,34,1290.198
8,34.7,1237.118
9,36.6,1110.148
10,37.8,972.607
11,40.2,917.862
12,44.5,861.665
13,49.2,829.862
14,51.9,849.202
15,51.8,867.102
16,50.3,1021.112
17,48.1,1178.397
18,47,1306.208
19,45.9,1311.78
20,45.6,1284.008
21,45.6,1249.191
22,44.2,1194.076
23,43.5,1132.425
24,34.3,1075.894
1,39.6,1040.056
2,38.3,1031.299
3,37.4,1024.136
4,36.6,1025.305
5,35.1,1043.642
6,34.3,1083.912
7,34.3,1140.055
8,34.8,1099.631
9,39.7,1030.169
10,42.5,951.964
11,43.8,918.293
12,44.3,929.003
13,43.5,993.906
14,41.4,1092.812
15,41.3,1096.084
16,40.4,1110.483
17,38.9,1145.237
18,36.9,1236.493
19,34.1,1252.19
20,45.6,1216.599
21,45.6,1177.585
22,44.2,1118.967
23,43.5,1060.703
24,34.3,1023.644
1,62.1,924.959
2,61.9,873.585
3,61.5,854.592
4,61.4,844.491
5,61.5,850.132
6,61.4,891.485
7,61.2,946.078
8,61.9,952.698
9,62.9,918.159
10,62.4,862.229
11,64.9,865.139
12,67.9,888.394
13,69.2,929.043
14,70.9,931.29
15,71.9,930.948
16,72.2,943.512
17,72,1014.07
18,71.1,1108.62
19,69.8,1174.942
20,68.3,1165.35
21,65.4,1161.31
22,64.3,1100.821
23,63,1020.188
24,62.3,954.361
1,61.5,867.183
2,60.6,823.03
3,59.9,802.763
4,59.4,789.96
5,59,795.239
6,58.6,812.475
7,58,835.304
8,59.2,832.564
9,62,809.247
10,64.7,765.104
11,68.5,753.535
12,71.1,757.927
13,72.5,776.72
14,73.2,800.195
15,73.2,825.416
16,72.6,874.017
17,70.9,950.974
18,70.4,1059.937
19,70.2,1146.137
20,69.9,1150.315
21,67.7,1131.513
22,66.4,1075.895
23,64.9,1001.526
24,61.7,931.297
1,63,866.065
2,62,832.213
3,61,803.4
4,60.3,800.125
5,60,796.824
6,59.4,806.255
7,58.9,810.299
8,61.2,824.353
9,64.8,836.666
10,67.7,829.028
11,72.8,813.497
12,76.6,831.51
13,78.9,851.293
14,80.1,871.932
15,80.8,918.62
16,81.3,1012.862
17,81.3,1111.971
18,81,1221.558
19,80.1,1269.787
20,77.8,1265.296
21,74.7,1227.628
22,69.8,1143.918
23,68.2,1050.277
24,63.8,975.725
1,65.4,917.627
2,64.5,873.898
3,63.9,848.779
4,63.3,842.964
5,63,858.664
6,62.8,906.204
7,62.6,960.299
8,64.5,981.017
9,68.5,1003.756
10,70.9,989.289
11,75.6,990.607
12,79.2,995.574
13,81.9,1029.289
14,83.9,1078.279
15,85.5,1120.354
16,86.4,1192.083
17,86.7,1274.655
18,85.7,1370.08
19,83.2,1407.8
20,81.1,1383.587
21,79.1,1351.472
22,73.6,1256.109
23,71.7,1155.651
24,66.6,1053.404
1,69.7,983.825
2,69,942.894
3,67.6,915.192
4,67.5,892.863
5,67,897.03
6,66.1,942.595
7,65.8,1004.486
8,67,1044.733
9,69.3,1045.624
10,70.7,999.67
11,72.8,968.553
12,73.8,967.159
13,73.3,969.236
14,73.4,941.45
15,73.8,953.088
16,73.9,1014.862
17,73.5,1106.005
18,72.7,1216.028
19,71.1,1276.456
20,68.9,1269.78
21,67.3,1244.781
22,65.7,1163.642
23,65.3,1066.018
24,70.2,972.431
1,64.4,916.99
2,63.9,867.243
3,63.7,839.492
4,63.1,839.388
5,62.4,853.359
6,62.1,917.464
7,62.2,978.261
8,64,998.139
9,67.2,980.918
10,69.9,945.488
11,73,937.771
12,74.9,936.986
13,76,965.934
14,76.5,997.564
15,75.9,1027.44
16,75,1053.436
17,74,1127.987
18,71.4,1226.407
19,68.9,1279.901
20,67.7,1260.384
21,67,1249.27
22,66.2,1188.35
23,66.2,1088.434
24,64.8,993.112
1,65.7,925.9
2,65.4,896.101
3,64.7,853.664
4,64.2,845.409
5,63.9,862.523
6,63.6,899.832
7,62.8,952.585
8,63.9,1006.36
9,67.3,1011.601
10,70.7,976.808
11,73.5,957.945
12,74.9,965.103
13,76.5,984.413
14,77.8,1018.439
15,78.7,1024.361
16,79,1064.819
17,79.1,1144.377
18,78.8,1234.004
19,77.7,1284.26
20,75.6,1271.533
21,72.1,1247.589
22,70.6,1160.933
23,68.9,1062.526
24,66.1,1003.909
1,66.1,930.617
2,64.8,877.494
3,63.8,846.298
4,63,838.005
5,62.2,871.537
6,61.3,941.792
7,60.5,979.39
8,62.6,985.839
9,67.2,978.048
10,71.4,971.231
11,75.8,975.145
12,78.3,1001.075
13,80.2,1003.851
14,81.3,1024.74
15,81.9,1052.968
16,82.2,1094.107
17,81.8,1189.904
18,80.5,1262.023
19,79.1,1288.986
20,77.2,1264.47
21,73.6,1237.384
22,71.1,1174.326
23,69,1086.554
24,67.5,1015.198
1,66.1,936.891
2,64.8,898.468
3,63.7,871.665
4,62.7,857.248
5,61.6,855.113
6,60.5,869.019
7,59.8,901.221
8,61.5,918.017
9,65.8,902.194
10,69.3,866.511
11,73.9,869.905
12,77.4,889.304
13,79.5,909.961
14,80.7,924.052
15,80.8,948.881
16,80.5,995.456
17,79.9,1088.507
18,79,1204.946
19,77.6,1263.221
20,75.8,1251.127
21,73.5,1229.581
22,72,1158.131
23,70.6,1079.425
24,67.5,1019.675
1,68.1,941.058
2,67.4,901.621
3,66.5,876.232
4,65.6,833.739
5,64.8,828.156
6,64.3,837.538
7,63.9,850.913
8,65.4,876.791
9,69.1,867.3
10,72.6,844.03
11,77,858.132
12,81.4,885.529
13,84.8,931.117
14,86.5,985.163
15,87.6,1043.895
16,88.4,1143.754
17,87.6,1269.038
18,86.6,1387.703
19,86,1460.348
20,84.2,1444.024
21,80.5,1415.574
22,77,1313.414
23,75.2,1198.108
24,68.9,1129.784
1,74,1055.481
2,72.9,1019.612
3,72,975.708
4,71.2,964.39
5,70.6,983.805
6,70.2,1025.355
7,69.7,1094.577
8,71.4,1154.907
9,75.6,1163.903
10,80.1,1170.904
11,85.1,1222.055
12,88.8,1266.714
13,91.1,1315.286
14,92.4,1371.066
15,93.5,1409.033
16,94.5,1460.696
17,92.9,1536.963
18,92,1648.122
19,91,1699.771
20,88.5,1656.747
21,85.1,1603.494
22,83,1485.087
23,80.1,1353.888
24,75,1233.303
1,78.3,1177.749
2,77.3,1103.408
3,75.8,1067.701
4,74.6,1050.629
5,73.6,1055.918
6,72.7,1098.473
7,71.9,1169.528
8,72.9,1203.366
9,76.2,1224.465
10,79.9,1236.455
11,84.8,1277.328
12,89.1,1325.1
13,91.6,1373.899
14,93.3,1419.087
15,94,1444.96
16,94.2,1487.979
17,93.6,1567.165
18,93,1664.966
19,89.5,1706.87
20,85.6,1662.813
21,82.1,1603.635
22,80.2,1474.026
23,78.5,1346.438
24,78.4,1233.347
1,75.6,1155.184
2,74.3,1092.762
3,73.3,1048.751
4,72.4,1034.749
5,71.7,1038.679
6,70.9,1067.501
7,70.2,1134.821
8,71.2,1188.579
9,74,1195.811
10,77.8,1200.594
11,82.3,1219.293
12,86.1,1251.528
13,89,1288.334
14,89.8,1318.04
15,90.4,1357.907
16,90,1416.73
17,83,1524.956
18,82.6,1603.298
19,76.4,1607.166
20,76.5,1599.353
21,76,1550.283
22,77.4,1455.45
23,76.6,1346.544
24,77,1238.066
1,75.6,1169.653
2,75.2,1128.69
3,74.4,1106.003
4,73.8,1081.832
5,73.2,1097.216
6,72.7,1143.089
7,72,1232.374
8,73,1279.014
9,75.4,1334.614
10,78,1347.859
11,80.4,1354.96
12,82.6,1330.199
13,84.1,1363.13
14,85.7,1429.234
15,80.6,1488.51
16,77,1486.117
17,79.5,1496.129
18,78.8,1525.285
19,79.2,1551.451
20,77.6,1546.881
21,75.3,1517.685
22,78.5,1429.377
23,77.3,1309.473
24,76,1197.213
1,75,1118.362
2,74.3,1053.123
3,74.1,1008.93
4,72.6,984.74
5,71,990.53
6,69.7,1034.971
7,68.7,1063.752
8,69.1,1089.585
9,70.8,1056.508
10,73.3,1001.286
11,75.1,977.64
12,75.9,967.34
13,76.5,992.275
14,76.6,1019.677
15,76.7,1044.694
16,76.9,1102.943
17,76.3,1201.384
18,75.2,1314.138
19,73.6,1373.241
20,71.2,1348.953
21,69.1,1314.46
22,68.5,1225.536
23,67.8,1126.115
24,76.1,1039.23
1,66.1,957.87
2,65.2,922.456
3,64.1,899.503
4,63.4,879.972
5,62.8,872.363
6,62.1,872.886
7,61.8,887.004
8,64,909
9,68.3,886.625
10,71.5,872.249
11,75.3,868.24
12,78.6,895.778
13,81.3,921.759
14,83,937.882
15,82.8,970.991
16,81.9,1021.117
17,82.7,1118.94
18,82.9,1235.316
19,82.1,1300.463
20,79.6,1296.044
21,76.1,1272.761
22,74.3,1196.847
23,72.9,1110.984
24,66.9,1035.925
1,71.4,985.625
2,70.6,934.944
3,69.8,909.325
4,69.3,893.008
5,68.8,881.187
6,68.5,886.959
7,68.4,913.158
8,69.7,931.585
9,72.8,930.614
10,76.3,911.392
11,80.7,950.584
12,83.8,994.91
13,86.4,1072.741
14,88.3,1144.272
15,89.3,1245.007
16,90.4,1325.897
17,89.1,1418.336
18,85.6,1460.411
19,82.9,1412.084
20,81,1343.856
21,79.2,1282.236
22,76.9,1191.645
23,72,1088.619
24,72.2,1002.873
1,69.5,926.975
2,67.8,894.135
3,66.6,867.608
4,66.7,847.091
5,65.4,864.975
6,64.4,911.933
7,63,974.786
8,62.3,960.614
9,62.6,901.478
10,63.9,836.076
11,66,810.255
12,67.9,811.637
13,69.3,822.345
14,70.1,844.111
15,70.3,870.687
16,69.8,906.753
17,68.6,982.144
18,67.5,1085.29
19,66.8,1178.887
20,65.9,1179.318
21,64.7,1142.345
22,63.5,1066.987
23,62.7,979.362
24,70.6,884.204
1,60.4,833.719
2,59.9,804.741
3,58.9,787.178
4,58.3,780.608
5,58,804.792
6,57.6,863.326
7,57.3,937.641
8,58.8,954
9,62.1,936.171
10,63.9,922.118
11,66.7,896.754
12,68.3,812.977
13,66.8,814.969
14,66.7,834.573
15,67.7,828.511
16,69.7,871.751
17,68,963.916
18,68.7,1053.718
19,67.5,1127.84
20,65.8,1131.948
21,64.2,1118.057
22,64.9,1043.915
23,63,958.651
24,61.6,882.594
1,61.3,828.916
2,61.1,813.042
3,60.6,796.536
4,60.3,789.743
5,60.2,810.86
6,60.3,877.859
7,60.4,960.745
8,61.3,1013.612
9,62.6,1046.128
10,63.1,1054.138
11,62.7,1027.499
12,64.1,1001.239
13,65.2,938.002
14,63.9,937.538
15,61.2,961.096
16,60.3,1003.745
17,59.4,1013.957
18,59.4,1058.062
19,59.8,1117.945
20,59.2,1145.779
21,58.9,1127.636
